movieId,score
as1,3.47
as10,3.44
as100,3.61
as1000,3.56
as1001,3.59
as1002,3.6
as1003,3.51
as1004,3.48
as1005,3.58
as1006,3.48
as1007,3.56
as1008,3.45
as1009,3.5
as101,3.53
as1010,3.61
as1011,3.41
as1012,3.53
as1013,3.62
as1014,3.49
as1015,3.58
as1016,3.52
as1017,3.58
as1018,3.57
as1019,3.48
as102,3.42
as1020,3.56
as1021,3.59
as1022,3.54
as1023,3.51
as1024,3.54
as1025,3.57
as1026,3.52
as1027,3.51
as1028,3.48
as1029,3.59
as103,3.58
as1030,3.56
as1031,3.5
as1032,3.5
as1033,3.51
as1034,3.58
as1035,3.51
as1036,3.56
as1037,3.53
as1038,3.63
as1039,3.56
as104,3.54
as1040,3.53
as1041,3.49
as1042,3.56
as1043,3.51
as1044,3.43
as1045,3.54
as1046,3.64
as1047,3.52
as1048,3.45
as1049,3.54
as105,3.58
as1050,3.58
as1051,3.52
as1052,3.55
as1053,3.51
as1054,3.52
as1055,3.61
as1056,3.54
as1057,3.57
as1058,3.53
as1059,3.51
as106,3.52
as1060,3.55
as1061,3.47
as1062,3.56
as1063,3.53
as1064,3.54
as1065,3.47
as1066,3.53
as1067,3.56
as1068,3.52
as1069,3.61
as107,3.58
as1070,3.47
as1071,3.54
as1072,3.59
as1073,3.63
as1074,3.53
as1075,3.54
as1076,3.5
as1077,3.48
as1078,3.51
as1079,3.56
as108,3.56
as1080,3.51
as1081,3.6
as1082,3.5
as1083,3.51
as1084,3.54
as1085,3.55
as1086,3.63
as1087,3.52
as1088,3.46
as1089,3.53
as109,3.55
as1090,3.47
as1091,3.46
as1092,3.54
as1093,3.57
as1094,3.53
as1095,3.56
as1096,3.48
as1097,3.55
as1098,3.56
as1099,3.58
as11,3.61
as110,3.48
as1100,3.6
as1101,3.6
as1102,3.47
as1103,3.47
as1104,3.58
as1105,3.55
as1106,3.49
as1107,3.54
as1108,3.5
as1109,3.51
as111,3.5
as1110,3.53
as1111,3.51
as1112,3.54
as1113,3.56
as1114,3.53
as1115,3.53
as1116,3.52
as1117,3.49
as1118,3.59
as1119,3.58
as112,3.55
as1120,3.53
as1121,3.56
as1122,3.45
as1123,3.46
as1124,3.51
as1125,3.53
as1126,3.42
as1127,3.55
as1128,3.65
as1129,3.59
as113,3.53
as1130,3.59
as1131,3.56
as1132,3.49
as1133,3.6
as1134,3.52
as1135,3.45
as1136,3.54
as1137,3.53
as1138,3.46
as1139,3.67
as114,3.5
as1140,3.53
as1141,3.63
as1142,3.5
as1143,3.52
as1144,3.49
as1145,3.51
as1146,3.61
as1147,3.54
as1148,3.5
as1149,3.47
as115,3.52
as1150,3.53
as1151,3.48
as1152,3.54
as1153,3.52
as1154,3.57
as1155,3.57
as1156,3.57
as1157,3.58
as1158,3.51
as1159,3.67
as116,3.62
as1160,3.5
as1161,3.53
as1162,3.46
as1163,3.46
as1164,3.6
as1165,3.56
as1166,3.51
as1167,3.43
as1168,3.52
as1169,3.46
as117,3.57
as1170,3.5
as1171,3.45
as1172,3.49
as1173,3.5
as1174,3.48
as1175,3.56
as1176,3.54
as1177,3.56
as1178,3.53
as1179,3.53
as118,3.49
as1180,3.55
as1181,3.67
as1182,3.54
as1183,3.56
as1184,3.56
as1185,3.51
as1186,3.47
as1187,3.54
as1188,3.48
as1189,3.49
as119,3.63
as1190,3.58
as1191,3.53
as1192,3.58
as1193,3.51
as1194,3.52
as1195,3.61
as1196,3.52
as1197,3.52
as1198,3.56
as1199,3.58
as12,3.57
as120,3.45
as1200,3.49
as1201,3.5
as1202,3.5
as1203,3.59
as1204,3.49
as1205,3.51
as1206,3.49
as1207,3.45
as1208,3.65
as1209,3.55
as121,3.55
as1210,3.58
as1211,3.48
as1212,3.58
as1213,3.53
as1214,3.55
as1215,3.57
as1216,3.51
as1217,3.49
as1218,3.54
as1219,3.47
as122,3.53
as1220,3.56
as1221,3.5
as1222,3.48
as1223,3.52
as1224,3.6
as1225,3.5
as1226,3.53
as1227,3.48
as1228,3.52
as1229,3.59
as123,3.45
as1230,3.52
as1231,3.54
as1232,3.53
as1233,3.5
as1234,3.58
as1235,3.49
as1236,3.56
as1237,3.49
as1238,3.52
as1239,3.56
as124,3.41
as1240,3.53
as1241,3.47
as1242,3.52
as1243,3.56
as1244,3.57
as1245,3.55
as1246,3.5
as1247,3.43
as1248,3.5
as1249,3.44
as125,3.52
as1250,3.55
as1251,3.49
as1252,3.57
as1253,3.53
as1254,3.55
as1255,3.48
as1256,3.48
as1257,3.61
as1258,3.6
as1259,3.44
as126,3.54
as1260,3.6
as1261,3.51
as1262,3.49
as1263,3.55
as1264,3.57
as1265,3.61
as1266,3.53
as1267,3.54
as1268,3.58
as1269,3.45
as127,3.65
as1270,3.59
as1271,3.59
as1272,3.46
as1273,3.56
as1274,3.59
as1275,3.52
as1276,3.68
as1277,3.48
as1278,3.57
as1279,3.57
as128,3.5
as1280,3.54
as1281,3.51
as1282,3.55
as1283,3.56
as1284,3.64
as1285,3.54
as1286,3.44
as1287,3.45
as1288,3.54
as1289,3.47
as129,3.54
as1290,3.51
as1291,3.57
as1292,3.57
as1293,3.52
as1294,3.55
as1295,3.6
as1296,3.47
as1297,3.5
as1298,3.54
as1299,3.54
as13,3.51
as130,3.49
as1300,3.47
as1301,3.53
as1302,3.54
as1303,3.49
as1304,3.6
as1305,3.51
as1306,3.58
as1307,3.57
as1308,3.47
as1309,3.51
as131,3.58
as1310,3.55
as1311,3.51
as1312,3.49
as1313,3.49
as1314,3.5
as1315,3.52
as1316,3.45
as1317,3.49
as1318,3.59
as1319,3.48
as132,3.56
as1320,3.49
as1321,3.54
as1322,3.55
as1323,3.59
as1324,3.47
as1325,3.58
as1326,3.53
as1327,3.44
as1328,3.54
as1329,3.55
as133,3.48
as1330,3.48
as1331,3.56
as1332,3.51
as1333,3.51
as1334,3.51
as1335,3.45
as1336,3.57
as1337,3.62
as1338,3.42
as1339,3.44
as134,3.47
as1340,3.59
as1341,3.55
as1342,3.52
as1343,3.5
as1344,3.53
as1345,3.51
as1346,3.58
as1347,3.51
as1348,3.61
as1349,3.54
as135,3.46
as1350,3.48
as1351,3.6
as1352,3.62
as1353,3.61
as1354,3.55
as1355,3.55
as1356,3.49
as1357,3.51
as1358,3.56
as1359,3.55
as136,3.54
as1360,3.62
as1361,3.44
as1362,3.52
as1363,3.56
as1364,3.51
as1365,3.52
as1366,3.52
as1367,3.57
as1368,3.61
as1369,3.51
as137,3.56
as1370,3.57
as1371,3.54
as1372,3.57
as1373,3.48
as1374,3.59
as1375,3.59
as1376,3.53
as1377,3.5
as1378,3.5
as1379,3.5
as138,3.43
as1380,3.5
as1381,3.52
as1382,3.56
as1383,3.5
as1384,3.52
as1385,3.6
as1386,3.53
as1387,3.52
as1388,3.65
as1389,3.58
as139,3.66
as1390,3.58
as1391,3.48
as1392,3.52
as1393,3.49
as1394,3.57
as1395,3.58
as1396,3.53
as1397,3.52
as1398,3.6
as1399,3.58
as14,3.57
as140,3.67
as1400,3.46
as1401,3.5
as1402,3.56
as1403,3.61
as1404,3.51
as1405,3.54
as1406,3.5
as1407,3.5
as1408,3.47
as1409,3.45
as141,3.52
as1410,3.47
as1411,3.55
as1412,3.49
as1413,3.49
as1414,3.55
as1415,3.51
as1416,3.53
as1417,3.56
as1418,3.52
as1419,3.56
as142,3.49
as1420,3.47
as1421,3.54
as1422,3.58
as1423,3.5
as1424,3.51
as1425,3.57
as1426,3.52
as1427,3.52
as1428,3.58
as1429,3.53
as143,3.57
as1430,3.5
as1431,3.53
as1432,3.51
as1433,3.57
as1434,3.5
as1435,3.54
as1436,3.48
as1437,3.52
as1438,3.55
as1439,3.49
as144,3.53
as1440,3.47
as1441,3.67
as1442,3.5
as1443,3.55
as1444,3.56
as1445,3.51
as1446,3.52
as1447,3.58
as1448,3.52
as1449,3.42
as145,3.56
as1450,3.55
as1451,3.59
as1452,3.5
as1453,3.39
as1454,3.49
as1455,3.57
as1456,3.54
as1457,3.61
as1458,3.55
as1459,3.5
as146,3.52
as1460,3.57
as1461,3.52
as1462,3.48
as1463,3.54
as1464,3.59
as1465,3.58
as1466,3.59
as1467,3.56
as1468,3.53
as1469,3.55
as147,3.55
as1470,3.52
as1471,3.59
as1472,3.53
as1473,3.51
as1474,3.53
as1475,3.55
as1476,3.57
as1477,3.57
as1478,3.53
as1479,3.47
as148,3.55
as1480,3.55
as1481,3.48
as1482,3.52
as1483,3.56
as1484,3.59
as1485,3.55
as1486,3.6
as1487,3.39
as1488,3.54
as1489,3.55
as149,3.53
as1490,3.45
as1491,3.51
as1492,3.54
as1493,3.5
as1494,3.47
as1495,3.56
as1496,3.5
as1497,3.6
as1498,3.48
as1499,3.56
as15,3.52
as150,3.57
as1500,3.52
as1501,3.51
as1502,3.52
as1503,3.57
as1504,3.48
as1505,3.52
as1506,3.57
as1507,3.58
as1508,3.53
as1509,3.5
as151,3.53
as1510,3.52
as1511,3.52
as1512,3.56
as1513,3.58
as1514,3.51
as1515,3.5
as1516,3.5
as1517,3.55
as1518,3.56
as1519,3.47
as152,3.6
as1520,3.6
as1521,3.55
as1522,3.46
as1523,3.57
as1524,3.57
as1525,3.57
as1526,3.46
as1527,3.52
as1528,3.57
as1529,3.52
as153,3.53
as1530,3.55
as1531,3.58
as1532,3.6
as1533,3.51
as1534,3.49
as1535,3.53
as1536,3.54
as1537,3.58
as1538,3.48
as1539,3.5
as154,3.48
as1540,3.47
as1541,3.54
as1542,3.49
as1543,3.52
as1544,3.51
as1545,3.53
as1546,3.57
as1547,3.51
as1548,3.54
as1549,3.47
as155,3.49
as1550,3.49
as1551,3.55
as1552,3.56
as1553,3.63
as1554,3.49
as1555,3.62
as1556,3.52
as1557,3.56
as1558,3.53
as1559,3.52
as156,3.58
as1560,3.54
as1561,3.51
as1562,3.48
as1563,3.54
as1564,3.51
as1565,3.48
as1566,3.52
as1567,3.5
as1568,3.45
as1569,3.51
as157,3.5
as1570,3.58
as1571,3.53
as1572,3.61
as1573,3.57
as1574,3.53
as1575,3.51
as1576,3.57
as1577,3.59
as1578,3.53
as1579,3.6
as158,3.51
as1580,3.58
as1581,3.52
as1582,3.56
as1583,3.55
as1584,3.55
as1585,3.53
as1586,3.48
as1587,3.54
as1588,3.55
as1589,3.48
as159,3.53
as1590,3.48
as1591,3.53
as1592,3.54
as1593,3.56
as1594,3.57
as1595,3.53
as1596,3.61
as1597,3.56
as1598,3.55
as1599,3.48
as16,3.53
as160,3.56
as1600,3.53
as1601,3.59
as1602,3.54
as1603,3.48
as1604,3.59
as1605,3.57
as1606,3.47
as1607,3.59
as1608,3.53
as1609,3.49
as161,3.55
as1610,3.5
as1611,3.45
as1612,3.52
as1613,3.54
as1614,3.53
as1615,3.6
as1616,3.52
as1617,3.59
as1618,3.62
as1619,3.56
as162,3.55
as1620,3.5
as1621,3.62
as1622,3.45
as1623,3.53
as1624,3.54
as1625,3.51
as1626,3.45
as1627,3.56
as1628,3.46
as1629,3.51
as163,3.42
as1630,3.56
as1631,3.52
as1632,3.53
as1633,3.54
as1634,3.52
as1635,3.48
as1636,3.44
as1637,3.69
as1638,3.48
as1639,3.54
as164,3.47
as1640,3.56
as1641,3.52
as1642,3.45
as1643,3.53
as1644,3.47
as1645,3.55
as1646,3.59
as1647,3.7
as1648,3.55
as1649,3.53
as165,3.47
as1650,3.5
as1651,3.53
as1652,3.54
as1653,3.48
as1654,3.48
as1655,3.55
as1656,3.52
as1657,3.55
as1658,3.53
as1659,3.56
as166,3.59
as1660,3.62
as1661,3.6
as1662,3.47
as1663,3.51
as1664,3.61
as1665,3.48
as1666,3.5
as1667,3.57
as1668,3.43
as1669,3.54
as167,3.48
as1670,3.59
as1671,3.49
as1672,3.6
as1673,3.64
as1674,3.5
as1675,3.56
as1676,3.51
as1677,3.44
as1678,3.53
as1679,3.62
as168,3.47
as1680,3.59
as1681,3.5
as1682,3.59
as1683,3.52
as1684,3.52
as1685,3.52
as1686,3.57
as1687,3.57
as1688,3.56
as1689,3.47
as169,3.5
as1690,3.58
as1691,3.54
as1692,3.57
as1693,3.52
as1694,3.56
as1695,3.59
as1696,3.46
as1697,3.56
as1698,3.58
as1699,3.5
as17,3.5
as170,3.59
as1700,3.56
as1701,3.59
as1702,3.51
as1703,3.6
as1704,3.54
as1705,3.52
as1706,3.47
as1707,3.52
as1708,3.51
as1709,3.54
as171,3.49
as1710,3.57
as1711,3.5
as1712,3.58
as1713,3.58
as1714,3.52
as1715,3.51
as1716,3.48
as1717,3.52
as1718,3.53
as1719,3.53
as172,3.53
as1720,3.48
as1721,3.64
as1722,3.54
as1723,3.45
as1724,3.58
as1725,3.6
as1726,3.57
as1727,3.6
as1728,3.49
as1729,3.51
as173,3.54
as1730,3.58
as1731,3.49
as1732,3.54
as1733,3.54
as1734,3.55
as1735,3.63
as1736,3.53
as1737,3.57
as1738,3.48
as1739,3.51
as174,3.5
as1740,3.53
as1741,3.6
as1742,3.57
as1743,3.54
as1744,3.61
as1745,3.49
as1746,3.54
as1747,3.55
as1748,3.54
as1749,3.54
as175,3.56
as1750,3.47
as1751,3.51
as1752,3.45
as1753,3.57
as1754,3.54
as1755,3.48
as1756,3.57
as1757,3.48
as1758,3.54
as1759,3.56
as176,3.52
as1760,3.49
as1761,3.58
as1762,3.51
as1763,3.56
as1764,3.6
as1765,3.48
as1766,3.52
as1767,3.58
as1768,3.55
as1769,3.55
as177,3.52
as1770,3.5
as1771,3.55
as1772,3.5
as1773,3.56
as1774,3.48
as1775,3.55
as1776,3.55
as1777,3.5
as1778,3.55
as1779,3.51
as178,3.55
as1780,3.59
as1781,3.52
as1782,3.55
as1783,3.52
as1784,3.52
as1785,3.45
as1786,3.57
as1787,3.49
as1788,3.55
as1789,3.48
as179,3.57
as1790,3.48
as1791,3.48
as1792,3.47
as1793,3.58
as1794,3.58
as1795,3.61
as1796,3.55
as1797,3.55
as1798,3.48
as1799,3.5
as18,3.56
as180,3.62
as1800,3.6
as1801,3.54
as1802,3.61
as1803,3.53
as1804,3.55
as1805,3.51
as1806,3.55
as1807,3.58
as1808,3.49
as1809,3.56
as181,3.62
as1810,3.58
as1811,3.46
as1812,3.55
as1813,3.49
as1814,3.54
as1815,3.47
as1816,3.48
as1817,3.48
as1818,3.48
as1819,3.54
as182,3.48
as1820,3.45
as1821,3.47
as1822,3.56
as1823,3.47
as1824,3.51
as1825,3.57
as1826,3.58
as1827,3.52
as1828,3.55
as1829,3.47
as183,3.52
as1830,3.52
as1831,3.62
as1832,3.53
as1833,3.55
as1834,3.56
as1835,3.53
as1836,3.5
as1837,3.48
as1838,3.51
as1839,3.6
as184,3.47
as1840,3.53
as1841,3.42
as1842,3.57
as1843,3.56
as1844,3.56
as1845,3.57
as1846,3.47
as1847,3.5
as1848,3.58
as1849,3.55
as185,3.52
as1850,3.55
as1851,3.5
as1852,3.54
as1853,3.5
as1854,3.49
as1855,3.5
as1856,3.56
as1857,3.5
as1858,3.53
as1859,3.51
as186,3.52
as1860,3.66
as1861,3.51
as1862,3.53
as1863,3.52
as1864,3.48
as1865,3.5
as1866,3.56
as1867,3.56
as1868,3.49
as1869,3.5
as187,3.57
as1870,3.64
as1871,3.51
as1872,3.55
as1873,3.55
as1874,3.54
as1875,3.52
as1876,3.46
as1877,3.5
as1878,3.48
as1879,3.53
as188,3.52
as1880,3.61
as1881,3.51
as1882,3.51
as1883,3.55
as1884,3.57
as1885,3.53
as1886,3.55
as1887,3.5
as1888,3.52
as1889,3.54
as189,3.53
as1890,3.58
as1891,3.52
as1892,3.53
as1893,3.47
as1894,3.56
as1895,3.45
as1896,3.55
as1897,3.58
as1898,3.43
as1899,3.56
as19,3.55
as190,3.61
as1900,3.63
as1901,3.53
as1902,3.54
as1903,3.54
as1904,3.61
as1905,3.62
as1906,3.52
as1907,3.47
as1908,3.59
as1909,3.53
as191,3.55
as1910,3.56
as1911,3.54
as1912,3.62
as1913,3.57
as1914,3.59
as1915,3.56
as1916,3.6
as1917,3.47
as1918,3.55
as1919,3.5
as192,3.58
as1920,3.5
as1921,3.59
as1922,3.47
as1923,3.62
as1924,3.57
as1925,3.57
as1926,3.46
as1927,3.51
as1928,3.55
as1929,3.54
as193,3.53
as1930,3.48
as1931,3.6
as1932,3.52
as1933,3.5
as1934,3.57
as1935,3.5
as1936,3.47
as1937,3.42
as1938,3.52
as1939,3.54
as194,3.58
as1940,3.57
as1941,3.55
as1942,3.53
as1943,3.5
as1944,3.55
as1945,3.53
as1946,3.5
as1947,3.5
as1948,3.52
as1949,3.6
as195,3.53
as1950,3.54
as1951,3.46
as1952,3.61
as1953,3.57
as1954,3.62
as1955,3.53
as1956,3.44
as1957,3.45
as1958,3.52
as1959,3.49
as196,3.56
as1960,3.59
as1961,3.56
as1962,3.7
as1963,3.48
as1964,3.45
as1965,3.51
as1966,3.46
as1967,3.45
as1968,3.49
as1969,3.55
as197,3.52
as1970,3.54
as1971,3.51
as1972,3.62
as1973,3.55
as1974,3.56
as1975,3.57
as1976,3.53
as1977,3.54
as1978,3.62
as1979,3.53
as198,3.67
as1980,3.52
as1981,3.54
as1982,3.51
as1983,3.43
as1984,3.55
as1985,3.52
as1986,3.53
as1987,3.56
as1988,3.51
as1989,3.51
as199,3.54
as1990,3.58
as1991,3.62
as1992,3.51
as1993,3.56
as1994,3.53
as1995,3.51
as1996,3.55
as1997,3.5
as1998,3.63
as1999,3.52
as2,3.55
as20,3.59
as200,3.54
as2000,3.53
as2001,3.51
as2002,3.63
as2003,3.52
as2004,3.58
as2005,3.58
as2006,3.48
as2007,3.48
as2008,3.59
as2009,3.55
as201,3.46
as2010,3.5
as2011,3.56
as2012,3.6
as2013,3.45
as2014,3.55
as2015,3.55
as2016,3.55
as2017,3.57
as2018,3.52
as2019,3.58
as202,3.52
as2020,3.48
as2021,3.51
as2022,3.54
as2023,3.57
as2024,3.5
as2025,3.56
as2026,3.51
as2027,3.58
as2028,3.47
as2029,3.52
as203,3.62
as2030,3.6
as2031,3.48
as2032,3.54
as2033,3.5
as2034,3.55
as2035,3.54
as2036,3.51
as2037,3.5
as2038,3.53
as2039,3.53
as204,3.54
as2040,3.57
as2041,3.58
as2042,3.47
as2043,3.57
as2044,3.47
as2045,3.57
as2046,3.55
as2047,3.55
as2048,3.52
as2049,3.58
as205,3.48
as2050,3.56
as2051,3.55
as2052,3.4
as2053,3.46
